1.991,97 - 0,00 TL
179,69 - 0,00 TL
2.183,08 - 0,00 TL
95,69 - 0,00 TL
367,99 - 0,00 TL
377,72 - 0,00 TL
209,52 - 0,00 TL
483,32 - 0,00 TL
159,39 - 0,00 TL
899,72 - 0,00 TL
